tʃt,0,0.5,0,-0.5,0,
[dʒ][dʒ],0,0,
vb,0,0,
rv,0,0,
[ts]v,0,0,
xm,0,0,
sts,0,-0.5,0,0,
k[ts],0,0,
dl,0,0,
ln,0,0,
br,0,0,
vm,0,0,
dʑv,0,0.5,0,0,
n,0,
skl,0,-0.5,0,1.5,0,
xf,0,0,
gn,0,0,
tɕm,0,0,1.5,0,
gʑ,0,0,
[tʃ]w,0,0,
v,0,
lɕɲ,0,0,1.5,0,
zmr,0,1.5,0,2.5,0,
ɕ,0,
ʃkv,0,-0.5,0,0.5,0,
ʃ[tʃ],0,0,
vw,0,0,
tj,0,0,
dw,0,0,
tʃ,0,0,
zv,0,0,
kv,0,0,
zbr,0,-0.5,0,1.5,0,
ʃf,0,0,
vv,0,0,
ps,0,0,
zb,0,0,
j,0,
vk,0,0,
ʑdʑbw,0,0.5,0,0.5,0,0,2.0,0,
kl,0,0,
vsp,0,0,-0.5,0,
vr,0,0,
tsm,0,0,1.5,0,
tsf,0,0,1.0,0,
fk,0,0,
pr,0,0,
kr,0,0,
xʒ,0,0,
tw,0,0,
p,0,
[dʒ],0,
m,0,
ʃn,0,0,
[tʃ][ts],0,0,
stʒ,0,-0.5,0,0.5,0,
ɟ,0,
ʑr,0,0,
[tʃ]v,0,0,
ftɕ,0,-0.5,0,0,
sk,0,0,
dn,0,0,
ʃ[tʃ]v,0,-0.75,0,0.75,0,
ʃt,0,0,
zz,0,0,
[ts]n,0,0,
vt,0,0,
zɲ,0,0,
tʒm,0,0.5,0,1.5,0,
dv,0,0,
zgɲ,0,-0.5,0,1.0,0,
vzv,0,1.0,0,1.0,0,
zm,0,0,
tf,0,0,
ɕ[ts],0,0,
vʃ,0,0,
ʒb,0,0,
s,0,
lʒ,0,0,
mr,0,0,
zgʒ,0,-0.5,0,0.5,0,
[ts]m,0,0,
kʒ,0,0,
str,0,-0.5,0,1.5,0,
x[ts],0,0,
bʒ,0,0,
l,0,
ss,0,0,
sxn,0,1.0,0,0,
dr,0,0,
fts,0,-0.5,0,0,
zw,0,0,
ʒw,0,0,
drv,0,1.5,0,-2.0,0,
wb,0,0,
ks,0,0,
pn,0,0,
